Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginRegistrationSuite2,Firefox 59.0,,2018-06-24 17:53:47,2018-06-24 17:54:45,57.471s,FAILED
,,,,,,
Test Cases/Login/LoginInvalid,Firefox 59.0,Check for login with invalid credentials,2018-06-24 17:53:48,2018-06-24 17:54:16,27.942s,PASSED
openBrowser,Firefox 59.0,,2018-06-24 17:53:49,2018-06-24 17:54:12,23.150s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:12,2018-06-24 17:54:14,1.503s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:14,2018-06-24 17:54:14,0.474s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:14,2018-06-24 17:54:15,0.438s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:15,2018-06-24 17:54:15,0.407s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:15,2018-06-24 17:54:15,0.297s,PASSED
closeBrowser,Firefox 59.0,,2018-06-24 17:54:15,2018-06-24 17:54:16,0.829s,PASSED
,,,,,,
Test Cases/Registration/Registration,Firefox 59.0,Registration of New User,2018-06-24 17:54:16,2018-06-24 17:54:44,28.001s,FAILED
openBrowser,Firefox 59.0,,2018-06-24 17:54:17,2018-06-24 17:54:27,10.670s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-24 17:54:27,2018-06-24 17:54:35,7.426s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:35,2018-06-24 17:54:36,0.831s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:36,2018-06-24 17:54:36,0.336s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:36,2018-06-24 17:54:36,0.346s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:36,2018-06-24 17:54:37,0.440s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:37,2018-06-24 17:54:37,0.357s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:37,2018-06-24 17:54:38,1.162s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:38,2018-06-24 17:54:39,0.300s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:39,2018-06-24 17:54:39,0.283s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:39,2018-06-24 17:54:39,0.279s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:39,2018-06-24 17:54:40,0.704s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:40,2018-06-24 17:54:40,0.499s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:40,2018-06-24 17:54:41,0.317s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:41,2018-06-24 17:54:41,0.446s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:41,2018-06-24 17:54:41,0.306s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:41,2018-06-24 17:54:42,0.698s,PASSED
setText,Firefox 59.0,,2018-06-24 17:54:42,2018-06-24 17:54:43,1.125s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:43,2018-06-24 17:54:44,0.452s,PASSED
click,Firefox 59.0,,2018-06-24 17:54:44,2018-06-24 17:54:44,0.362s,FAILED
