Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuiteLoginReg,Firefox 59.0,,2018-06-24 17:23:12,2018-06-24 17:24:00,47.888s,FAILED
,,,,,,
Test Cases/Login/LoginInvalid,Firefox 59.0,Check for login with invalid credentials,2018-06-24 17:23:13,2018-06-24 17:23:35,21.886s,PASSED
openBrowser,Firefox 59.0,,2018-06-24 17:23:13,2018-06-24 17:23:31,17.669s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:31,2018-06-24 17:23:33,1.460s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:33,2018-06-24 17:23:33,0.532s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:33,2018-06-24 17:23:33,0.227s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:33,2018-06-24 17:23:34,0.342s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:34,2018-06-24 17:23:34,0.287s,PASSED
closeBrowser,Firefox 59.0,,2018-06-24 17:23:34,2018-06-24 17:23:35,0.934s,PASSED
,,,,,,
Test Cases/Registration/Registration,Firefox 59.0,Registration of New User,2018-06-24 17:23:35,2018-06-24 17:24:00,24.744s,FAILED
openBrowser,Firefox 59.0,,2018-06-24 17:23:35,2018-06-24 17:23:46,10.569s,PASSED
navigateToUrl,Firefox 59.0,,2018-06-24 17:23:46,2018-06-24 17:23:50,4.145s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:50,2018-06-24 17:23:51,1.115s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:51,2018-06-24 17:23:52,0.515s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:52,2018-06-24 17:23:52,0.439s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:52,2018-06-24 17:23:52,0.461s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:52,2018-06-24 17:23:53,0.571s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:53,2018-06-24 17:23:55,1.745s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:55,2018-06-24 17:23:55,0.430s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:55,2018-06-24 17:23:56,0.365s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:56,2018-06-24 17:23:56,0.352s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:56,2018-06-24 17:23:56,0.423s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:56,2018-06-24 17:23:56,0.186s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:56,2018-06-24 17:23:57,0.169s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:57,2018-06-24 17:23:57,0.223s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:57,2018-06-24 17:23:57,0.206s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:57,2018-06-24 17:23:58,1.015s,PASSED
setText,Firefox 59.0,,2018-06-24 17:23:58,2018-06-24 17:23:59,0.751s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:59,2018-06-24 17:23:59,0.495s,PASSED
click,Firefox 59.0,,2018-06-24 17:23:59,2018-06-24 17:24:00,0.277s,FAILED
